uuid,HR
1ae30e0b-098e-46fc-a897-0a6661f26370,75.17381993582109
428b41b3-9461-4c79-ab4e-d03b122b2553,80.7884162140683
88f82ac7-02dd-447e-a289-22e8e22432c2,62.34878818297346
1d09b18f-d82f-4c1a-bb2d-71fda6fea837,66.54761422952883
a6302640-f70a-4a3a-ad36-a8c3d5df9400,64.35847730340373
3f6508be-4b0a-4008-b701-49d8c2d5dd43,57.093663741371046
a07d84c8-fc44-45ef-bb85-f06f06b70e9f,75.133852016359
f4a449db-a7ff-437b-852b-821a6e965f2f,62.47389741266874
94364ef1-12e2-4ddd-9f35-99e270547849,56.352678949603266
231d34f5-1028-4f2e-8e1d-00d086b0c218,71.0299014129409
